Date,Close,Open,High,Low,Volume
2019-01-02,39.48,38.72,39.71,38.56,31859546.00
2019-01-03,35.55,36.00,36.43,35.50,91312195.00
2019-01-04,37.07,36.13,37.14,35.95,58607070.00
2019-01-07,36.98,37.18,37.21,36.48,54487254.00
2019-01-08,37.69,37.39,37.96,37.13,40233090.00
2019-01-09,38.33,37.82,38.63,37.41,45099081.00
2019-01-10,38.45,38.13,38.49,37.72,35780670.00
2019-01-11,38.07,38.22,38.43,37.88,27023241.00
2019-01-14,37.50,37.71,37.82,37.31,32439186.00
2019-01-15,38.27,37.57,38.35,37.51,28710324.00
2019-01-16,38.74,38.27,38.97,38.25,30042511.00
2019-01-17,38.97,38.55,39.42,38.32,29586977.00
2019-01-18,39.21,39.38,39.47,39.00,33751023.00
2019-01-22,38.33,39.10,39.18,38.16,29893939.00
2019-01-23,38.48,38.54,38.79,37.93,23032719.00
2019-01-24,38.18,38.53,38.62,37.94,25359844.00
2019-01-25,39.44,38.87,39.53,38.58,33547893.00
2019-01-28,39.08,38.95,39.08,38.42,26112867.00
2019-01-29,38.67,39.06,39.53,38.53,41587239.00
2019-01-30,41.31,40.81,41.54,40.06,61109780.00
2019-01-31,41.61,41.53,42.25,41.14,40442002.00
2019-02-01,41.63,41.74,42.25,41.48,32668138.00
2019-02-04,42.81,41.85,42.91,41.82,31174930.00
2019-02-05,43.55,43.22,43.77,43.09,35902089.00
2019-02-06,43.56,43.66,43.89,43.21,28239591.00
2019-02-07,42.74,43.10,43.49,42.59,31456821.00
2019-02-08,42.60,42.25,42.67,42.11,23819966.00
2019-02-11,42.36,42.76,42.80,42.31,20480055.00
2019-02-12,42.72,42.53,42.75,42.43,22169659.00
2019-02-13,42.55,42.85,43.12,42.48,22490233.00
2019-02-14,42.70,42.43,42.82,42.35,21835747.00
2019-02-15,42.61,42.81,42.93,42.44,24626814.00
2019-02-19,42.73,42.43,42.86,42.37,18972826.00
2019-02-20,43.01,42.80,43.33,42.75,26114362.00
2019-02-21,42.77,42.95,43.09,42.58,17249670.00
2019-02-22,43.24,42.90,43.25,42.85,18913154.00
2019-02-25,43.56,43.54,43.97,43.49,21873358.00
2019-02-26,43.58,43.43,43.83,43.29,17070211.00
2019-02-27,43.72,43.30,43.75,43.18,27835389.00
2019-02-28,43.29,43.58,43.73,43.23,28215416.00
2019-03-01,43.74,43.57,43.79,43.22,25886167.00
2019-03-04,43.96,43.92,44.44,43.49,27436203.00
2019-03-05,43.88,43.99,44.00,43.64,19737419.00
2019-03-06,43.63,43.67,43.87,43.49,20810384.00
2019-03-07,43.13,43.47,43.61,43.01,24796374.00
2019-03-08,43.23,42.58,43.27,42.38,23999358.00
2019-03-11,44.73,43.87,44.78,43.84,32011034.00
2019-03-12,45.23,45.00,45.67,44.84,32467584.00
2019-03-13,45.43,45.56,45.83,45.23,31032524.00
2019-03-14,45.93,45.98,46.03,45.64,23579508.00
2019-03-15,46.53,46.21,46.83,45.94,39042912.00
2019-03-18,47.01,46.45,47.10,46.45,26219832.00
2019-03-19,46.63,47.09,47.25,46.48,31646369.00
2019-03-20,47.04,46.56,47.37,46.18,31035231.00
2019-03-21,48.77,47.51,49.08,47.45,51034237.00
2019-03-22,47.76,48.84,49.42,47.70,42407666.00
2019-03-25,47.19,47.88,48.00,46.65,43845293.00
2019-03-26,46.70,47.92,48.22,46.15,49800538.00
2019-03-27,47.12,47.19,47.44,46.64,29848427.00
2019-03-28,47.18,47.24,47.39,46.88,20780363.00
2019-03-29,47.49,47.46,47.52,47.14,23563961.00
2019-04-01,47.81,47.91,47.92,47.10,27861964.00
2019-04-02,48.51,47.77,48.62,47.76,22765732.00
2019-04-03,48.84,48.31,49.13,48.29,23271830.00
2019-04-04,48.92,48.70,49.09,48.29,19114275.00
2019-04-05,49.25,49.11,49.28,48.98,18526644.00
2019-04-08,50.03,49.11,50.06,49.09,25881697.00
2019-04-09,49.88,50.08,50.71,49.81,35768237.00
2019-04-10,50.16,49.67,50.19,49.55,21695288.00
2019-04-11,49.74,50.21,50.25,49.61,20900808.00
2019-04-12,49.72,49.80,50.04,49.05,27760668.00
2019-04-15,49.81,49.65,49.96,49.50,17536646.00
2019-04-16,49.81,49.87,50.34,49.64,25696385.00
2019-04-17,50.78,49.89,50.85,49.65,28906780.00
2019-04-18,50.97,50.78,51.04,50.63,24195766.00
2019-04-22,51.13,50.71,51.24,50.59,19439545.00
2019-04-23,51.87,51.11,51.94,50.98,23322991.00
2019-04-24,51.79,51.84,52.12,51.76,17540609.00
2019-04-25,51.32,51.71,51.94,51.28,18543206.00
2019-04-26,51.08,51.23,51.25,50.53,18649102.00
2019-04-29,51.15,51.10,51.49,50.97,22204716.00
2019-04-30,50.17,50.77,50.85,49.78,46534923.00
2019-05-01,52.63,52.47,53.83,52.31,64827328.00
2019-05-02,52.29,52.46,53.16,52.03,31996324.00
2019-05-03,52.94,52.72,52.96,52.56,20892378.00
2019-05-06,52.12,51.07,52.21,50.88,32443113.00
2019-05-07,50.72,51.47,51.85,50.21,38763698.00
2019-05-08,50.73,50.48,51.34,50.44,26339504.00
2019-05-09,50.18,50.10,50.42,49.17,34908607.00
2019-05-10,49.30,49.35,49.71,48.19,41208712.00
2019-05-13,46.43,46.93,47.37,45.71,57430623.00
2019-05-14,47.17,46.60,47.43,46.35,36529677.00
2019-05-15,47.73,46.57,47.94,46.51,26544718.00
2019-05-16,47.52,47.48,48.12,47.21,33031364.00
2019-05-17,47.25,46.73,47.73,46.69,32879090.00
2019-05-20,45.77,45.88,46.09,45.07,38612290.00
