Date,Close,Open,High,Low,Volume
2019-01-02,52.73,51.36,53.04,51.26,1575558.00
2019-01-03,51.27,52.53,53.31,51.12,2097957.00
2019-01-04,53.90,52.13,54.00,51.84,2301428.00
2019-01-07,53.80,54.05,54.14,53.13,2359583.00
2019-01-08,54.27,54.30,54.67,53.42,1752910.00
2019-01-09,54.08,54.40,54.58,53.72,1349912.00
2019-01-10,53.94,53.75,53.99,53.23,1329861.00
2019-01-11,53.22,53.50,53.67,52.82,1543238.00
2019-01-14,52.58,52.67,52.92,52.43,1424486.00
2019-01-15,54.33,52.90,54.41,52.72,1875852.00
2019-01-16,54.48,54.50,55.12,54.40,1879599.00
2019-01-17,54.96,54.40,55.04,54.16,1234053.00
2019-01-18,55.37,55.43,55.90,54.96,2244569.00
2019-01-22,53.93,54.80,54.95,53.54,1957538.00
2019-01-23,54.22,54.34,54.65,53.38,1248311.00
2019-01-24,54.20,54.13,54.40,53.50,1404990.00
2019-01-25,55.08,54.71,55.17,54.59,1163788.00
2019-01-28,53.99,54.50,54.67,53.73,1462385.00
2019-01-29,53.50,54.05,54.24,53.30,985248.00
2019-01-30,54.90,53.87,54.98,53.83,1472647.00
2019-01-31,56.29,55.61,56.38,55.26,1975986.00
2019-02-01,55.93,56.11,56.72,55.71,1655813.00
2019-02-04,57.07,55.95,57.12,55.88,3542871.00
2019-02-05,57.59,56.48,57.64,56.18,4104095.00
2019-02-06,56.14,57.46,57.70,55.92,2412820.00
2019-02-07,55.30,55.59,55.60,54.68,1899562.00
2019-02-08,55.12,54.74,55.25,54.71,1088327.00
2019-02-11,55.11,55.19,55.67,55.00,884764.00
2019-02-12,56.38,55.55,56.64,55.55,1746335.00
2019-02-13,56.43,56.65,57.14,56.30,1402087.00
2019-02-14,56.46,56.25,56.81,55.85,1055297.00
2019-02-15,55.98,56.97,56.97,55.84,1391348.00
2019-02-19,56.33,55.83,56.48,55.83,1099259.00
2019-02-20,56.03,56.44,56.55,55.59,1204533.00
2019-02-21,55.21,55.94,55.96,54.90,1663980.00
2019-02-22,55.83,55.49,55.86,55.03,1471783.00
2019-02-25,55.87,56.10,56.27,55.71,1310362.00
2019-02-26,56.10,55.72,56.32,55.34,1751261.00
2019-02-27,56.14,55.70,56.29,55.43,1104881.00
2019-02-28,56.33,55.95,56.70,55.92,1371355.00
2019-03-01,57.43,56.55,57.50,56.55,1704258.00
2019-03-04,57.67,57.73,58.28,56.91,1774467.00
2019-03-05,58.46,57.80,58.82,57.65,2004723.00
2019-03-06,58.25,58.59,58.74,58.15,1180052.00
2019-03-07,57.54,58.03,58.18,57.09,1504328.00
2019-03-08,57.50,56.70,57.67,56.51,1184732.00
2019-03-11,58.96,57.60,59.00,57.58,1501633.00
2019-03-12,59.86,59.12,60.29,59.12,2110979.00
2019-03-13,59.95,60.30,60.36,59.90,1294354.00
2019-03-14,59.63,59.95,60.24,59.56,1365072.00
2019-03-15,59.52,59.90,60.09,59.35,2593338.00
2019-03-18,59.43,59.48,59.75,59.07,1222203.00
2019-03-19,60.12,59.59,60.17,59.47,1489407.00
2019-03-20,61.32,60.07,61.50,59.98,2075442.00
2019-03-21,61.81,61.00,61.82,60.83,1407480.00
2019-03-22,60.38,61.44,61.68,60.30,1721133.00
2019-03-25,59.87,59.98,60.47,59.50,1378849.00
2019-03-26,59.49,60.26,60.38,59.09,1537606.00
2019-03-27,58.90,59.60,59.60,58.21,1471402.00
2019-03-28,58.61,58.78,58.86,58.17,1120122.00
2019-03-29,58.84,59.01,59.20,58.32,1544615.00
2019-04-01,59.95,59.38,60.01,59.32,1385595.00
2019-04-02,60.28,60.00,60.29,59.56,914413.00
2019-04-03,60.54,60.64,61.03,60.25,1109614.00
2019-04-04,60.97,60.56,61.03,60.45,1051089.00
2019-04-05,60.57,60.97,61.02,60.50,1001044.00
2019-04-08,60.41,60.56,60.70,60.23,1087588.00
2019-04-09,60.13,60.09,60.36,59.92,983840.00
2019-04-10,60.32,60.25,60.45,60.03,775456.00
2019-04-11,60.48,60.45,60.64,60.23,849947.00
2019-04-12,61.14,60.78,61.15,60.66,1215610.00
2019-04-15,61.33,61.20,61.46,60.73,1189974.00
2019-04-16,61.60,61.50,61.80,61.25,1131099.00
2019-04-17,62.01,61.85,62.25,61.65,1518286.00
2019-04-18,62.07,62.25,62.30,61.97,1237788.00
2019-04-22,62.69,61.83,62.72,61.67,954419.00
2019-04-23,63.53,62.83,63.72,62.60,1593449.00
2019-04-24,63.00,63.53,63.70,62.99,1169797.00
