Quarter,Date,LOG_CLOSE,LOG_GROSS,LOG_NET,LOG_ASSETS,LOG_LIABILITIES,LOG_VOL,LOG_EPS
2005Q3,9/24/2005,2.281033367,11.01494035,10.63346846,12.06130166,11.61151089,11.05861762,0.301029996
2005Q4,12/31/2005,2.409933123,11.19423675,10.75204845,12.15170686,11.76350287,11.20829348,0.301029996
2006Q1,4/1/2006,2.350248018,11.11293998,10.61278386,12.14335835,11.71841864,11.35817856,0.301029996
2006Q2,7/1/2006,2.311753861,11.12221588,10.673942,12.17937942,11.76222828,11.28292746,0.301029996
2006Q3,9/30/2006,2.439332694,11.1498347,10.73399929,12.23565468,11.85859734,11.27824372,0.301029996
2006Q4,12/30/2006,2.481442629,11.34635297,11.00173371,12.28916515,11.91555812,11.20803963,0.602059991
2007Q1,3/31/2007,2.521138084,11.26693691,10.88649073,12.272097,11.80955971,11.30849703,0.477121255
2007Q2,6/30/2007,2.639486489,11.2999429,10.9127533,12.33539772,11.9160853,11.28704544,0.477121255
2007Q3,9/29/2007,2.738780558,11.32014629,10.95616843,12.40392656,12.03402652,11.39469788,0.602059991
2007Q4,12/29/2007,2.849419414,11.52270499,11.19893187,12.47768547,12.12172395,11.37720734,0.77815125
2008Q1,3/29/2008,2.710117365,11.3933997,11.01911629,12.48388671,12.09405166,11.47186953,0.602059991
2008Q2,6/28/2008,2.776701184,11.41497335,11.03019479,12.50118255,12.08231852,11.33723763,0.602059991
2008Q3,9/27/2008,2.608526034,11.43759203,11.05537833,12.55836052,12.14220169,11.30807534,0.698970004
2008Q4,12/27/2008,2.484299839,11.54802069,11.20547504,12.63131184,12.29837269,11.48413968,0.77815125
2009Q1,3/28/2009,2.574031268,11.47290265,11.08098705,12.63585555,12.27705884,11.22983995,0.698970004
2009Q2,6/27/2009,2.706717782,11.48043815,11.08955188,12.68250609,12.34736905,11.08380732,0.698970004
2009Q3,9/26/2009,2.820857989,11.55798815,11.22141424,12.67670275,12.20033057,11.01675491,0.84509804
