Date,Close,Open,High,Low,Volume
1/2/2019,101.12,99.55,101.75,98.94,35329345.00
1/3/2019,97.40,100.10,100.19,97.20,42578410.00
1/4/2019,101.93,99.72,102.51,98.93,44060620.00
1/7/2019,102.06,101.64,103.27,100.98,35656136.00
1/8/2019,102.80,103.04,103.97,101.71,31514415.00
1/9/2019,104.27,103.86,104.88,103.24,32280840.00
1/10/2019,103.60,103.22,103.75,102.38,30067556.00
1/11/2019,102.80,103.19,103.44,101.64,28314202.00
1/14/2019,102.05,101.90,102.87,101.26,28437079.00
1/15/2019,105.01,102.51,105.05,101.88,31587616.00
1/16/2019,105.38,105.26,106.26,104.96,29853865.00
1/17/2019,106.12,105.00,106.63,104.76,28393015.00
1/18/2019,107.71,107.46,107.90,105.91,37427587.00
1/22/2019,105.68,106.75,107.10,104.86,32371253.00
1/23/2019,106.71,106.12,107.04,105.34,25874294.00
1/24/2019,106.20,106.86,107.00,105.34,23164838.00
1/25/2019,107.17,107.24,107.88,106.59,31218193.00
1/28/2019,105.08,106.26,106.48,104.66,29476719.00
1/29/2019,102.94,104.88,104.97,102.17,31490547.00
1/30/2019,106.38,104.62,106.38,104.33,49471866.00
1/31/2019,104.43,103.80,105.22,103.18,55636391.00
2/1/2019,102.78,103.78,104.10,102.35,35535690.00
2/4/2019,105.74,102.87,105.80,102.77,31315282.00
2/5/2019,107.22,106.06,107.27,105.96,27325365.00
2/6/2019,106.03,107.00,107.00,105.53,20609759.00
2/7/2019,105.27,105.19,105.59,104.29,29760697.00
2/8/2019,105.67,104.39,105.78,104.26,21461093.00
2/11/2019,105.25,106.20,106.58,104.97,18914123.00
2/12/2019,106.89,106.14,107.14,105.48,25056595.00
2/13/2019,106.81,107.50,107.78,106.71,18394869.00
2/14/2019,106.90,106.31,107.29,105.66,21784703.00
2/15/2019,108.22,107.91,108.30,107.36,26606886.00
2/19/2019,108.17,107.79,108.66,107.78,18038460.00
2/20/2019,107.15,107.86,107.94,106.29,21607671.00
2/21/2019,109.41,106.90,109.48,106.87,29063231.00
2/22/2019,110.97,110.05,111.20,109.82,27763218.00
2/25/2019,111.59,111.76,112.18,111.26,23750599.00
2/26/2019,112.36,111.26,113.24,111.17,21536733.00
2/27/2019,112.17,111.69,112.36,110.88,21487062.00
2/28/2019,112.03,112.04,112.88,111.73,29083934.00
3/1/2019,112.53,112.89,113.02,111.67,23501169.00
3/4/2019,112.26,113.02,113.25,110.80,26608014.00
3/5/2019,111.70,112.25,112.39,111.23,19538318.00
3/6/2019,111.75,111.87,112.66,111.43,17686996.00
3/7/2019,110.39,111.40,111.55,109.87,25338954.00
3/8/2019,110.51,109.16,110.71,108.80,22818430.00
3/11/2019,112.83,110.99,112.95,110.98,26491618.00
3/12/2019,113.62,112.82,113.99,112.65,26132717.00
3/13/2019,114.50,114.13,115.00,113.78,35513771.00
3/14/2019,114.59,114.54,115.20,114.33,30763367.00
3/15/2019,115.91,115.34,117.25,114.59,54630661.00
3/18/2019,117.57,116.17,117.61,116.05,31207596.00
3/19/2019,117.65,118.09,118.44,116.99,37588697.00
3/20/2019,117.52,117.39,118.75,116.71,28113343.00
3/21/2019,120.22,117.14,120.82,117.09,29854446.00
3/22/2019,117.05,119.50,119.59,117.04,33624528.00
3/25/2019,117.66,116.56,118.01,116.32,27067117.00
3/26/2019,117.91,118.62,118.71,116.85,26097665.00
3/27/2019,116.77,117.88,118.21,115.52,22733427.00
3/28/2019,116.93,117.44,117.58,116.13,18334755.00
3/29/2019,117.94,118.07,118.32,116.96,25399752.00
4/1/2019,119.02,118.95,119.11,118.10,22789103.00
4/2/2019,119.19,119.06,119.48,118.52,18142297.00
4/3/2019,119.97,119.86,120.43,119.15,22860744.00
4/4/2019,119.36,120.10,120.23,118.38,20112848.00
4/5/2019,119.89,119.39,120.23,119.37,15826245.00
4/8/2019,119.93,119.81,120.02,118.64,15116186.00
4/9/2019,119.28,118.63,119.54,118.58,17611981.00
4/10/2019,120.19,119.76,120.35,119.54,16477169.00
4/11/2019,120.33,120.54,120.85,119.92,14209121.00
4/12/2019,120.95,120.64,120.98,120.37,19745143.00
4/15/2019,121.05,120.94,121.58,120.57,15792572.00
4/16/2019,120.77,121.64,121.65,120.10,14071787.00
